"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.input_meta","Input.input_text","Input.clarq_meta","Input.clarq_text","Answer.Comments","Answer.information_need_code","Answer.information_need_rephrase","Answer.information_need_results","Approve","Reject"
"3FJ2RVH25ZGZQ0F6DBFPJ8RBHJE29V","3MRHU529460XLAYUZ9Z60JVL7EKA2M","Significance of UNK tokens in model output","Given a post and clarification question, what information needs does the question encode that is not expressed overtly?","question answering, QA, clarification","$0.05","Wed Oct 28 19:49:56 PDT 2020","1","BatchId:298293;OriginalHitTemplateId:920937243;","3600","259200","Tue Nov 17 18:49:56 PST 2020","","","3IO1LGZLKA7PHGDRLNQGY98SE8X86B","A114SLF6QMZ0O7","Submitted","Wed Oct 28 19:53:34 PDT 2020","Wed Oct 28 19:53:36 PDT 2020","Sat Oct 31 19:53:36 PDT 2020","","","","2","0% (0/0)","0% (0/0)","0% (0/0)","post_0","when i am clicking on * * add to cart * * button then product was added to my cart and mini - cart count also updated but loader on mini - cart showing always .  [ ! [ enter image description here][1]][1 ]  after refreshing my page mini - cart shows updated count .  [ ! [ enter image description here][2]][2 ]  what should i do to remove that loader after mini - cart count update ?    [ 1 ] : https://i.stack.imgur.com/oyiqr.png    [ 2 ] : https://i.stack.imgur.com/ob2dx.png","clarq_0","can you please add the code you are using ?","{}","","",""
"3MJ9GGZYO3GDVJPB5HTPF32VN1WA2I","3MRHU529460XLAYUZ9Z60JVL7EKA2M","Significance of UNK tokens in model output","Given a post and clarification question, what information needs does the question encode that is not expressed overtly?","question answering, QA, clarification","$0.05","Wed Oct 28 19:49:56 PDT 2020","1","BatchId:298293;OriginalHitTemplateId:920937243;","3600","259200","Tue Nov 17 18:49:56 PST 2020","","","3JZQSN0I3RK0TOCK5E58KS23VQDFG1","A114SLF6QMZ0O7","Submitted","Wed Oct 28 19:51:26 PDT 2020","Wed Oct 28 19:51:31 PDT 2020","Sat Oct 31 19:51:31 PDT 2020","","","","5","0% (0/0)","0% (0/0)","0% (0/0)","post_1","i am trying to find where i did mistake when i search abc in catalog search tab . the link * * local.xyz.com/abc.html * * redirect to www.xyz.com/abc.html .  do n't know where i did mistake , i already changed the url rewrite manage ment and reindex in and remove cache but same issue occur .","clarq_1","can you add the code you are using ?","{}","","",""
"33KMQD9OFJO2YIOJ4QY013HDX9C774","3MRHU529460XLAYUZ9Z60JVL7EKA2M","Significance of UNK tokens in model output","Given a post and clarification question, what information needs does the question encode that is not expressed overtly?","question answering, QA, clarification","$0.05","Wed Oct 28 19:49:56 PDT 2020","1","BatchId:298293;OriginalHitTemplateId:920937243;","3600","259200","Tue Nov 17 18:49:56 PST 2020","","","3KAKFY4PGVCJ932MB7494VQM7D03I8","A114SLF6QMZ0O7","Submitted","Wed Oct 28 19:51:44 PDT 2020","Wed Oct 28 19:51:46 PDT 2020","Sat Oct 31 19:51:46 PDT 2020","","","","2","0% (0/0)","0% (0/0)","0% (0/0)","post_2","hello i am new on the magento 2 . suddenly i got the error when new user come on the site and try to register after filling information it is showing error as "" we ca n't save the customer ""   . i am not able to understand why this is happening suddenly on my website . please let me know and suggest me any relevant answer for this query . my website url is http://54.67.81.223/viewsonicstore  thanks in advance","clarq_2","can you please share your code here ?","{}","","",""
"3EFNPKWBMSY6FONCHFA197VAKTK03S","3MRHU529460XLAYUZ9Z60JVL7EKA2M","Significance of UNK tokens in model output","Given a post and clarification question, what information needs does the question encode that is not expressed overtly?","question answering, QA, clarification","$0.05","Wed Oct 28 19:49:56 PDT 2020","1","BatchId:298293;OriginalHitTemplateId:920937243;","3600","259200","Tue Nov 17 18:49:56 PST 2020","","","3L70J4KAZHW2LDLLS8I806OFLIKAD9","A114SLF6QMZ0O7","Submitted","Wed Oct 28 19:51:20 PDT 2020","Wed Oct 28 19:51:22 PDT 2020","Sat Oct 31 19:51:22 PDT 2020","","","","2","0% (0/0)","0% (0/0)","0% (0/0)","post_3","on the category page i have an attribute showing values , that attribute can have multiple values and will show all te values separated by comma 's . is there a way to get the highest value from the attribute and also the lowest ?  what is have to display the values :      getresource()->getattribute('scherm_breedte')->getfrontend()->getvalue($_product ) ) : ? >        breedte : getresource()->getattribute('scherm_breedte')->getfrontend()->getvalue($_product ) ; ? >     regards ,  robert","clarq_3","can you show us your code ?","{}","","",""
"36818Z1KV3N2G1LU9H7UYD7NTFWA3T","3MRHU529460XLAYUZ9Z60JVL7EKA2M","Significance of UNK tokens in model output","Given a post and clarification question, what information needs does the question encode that is not expressed overtly?","question answering, QA, clarification","$0.05","Wed Oct 28 19:49:56 PDT 2020","1","BatchId:298293;OriginalHitTemplateId:920937243;","3600","259200","Tue Nov 17 18:49:56 PST 2020","","","3R08VXYT7D5JBHNE20BEI3BARQK7WO","A114SLF6QMZ0O7","Submitted","Wed Oct 28 19:51:24 PDT 2020","Wed Oct 28 19:51:26 PDT 2020","Sat Oct 31 19:51:26 PDT 2020","","","","2","0% (0/0)","0% (0/0)","0% (0/0)","post_4","how can i get all the available colors of a single product in magento 2 ?","clarq_4","you mean like this ?","{}","","",""
"356TQKY9XF76YWT2EVQ6F3D88TI78R","3MRHU529460XLAYUZ9Z60JVL7EKA2M","Significance of UNK tokens in model output","Given a post and clarification question, what information needs does the question encode that is not expressed overtly?","question answering, QA, clarification","$0.05","Wed Oct 28 19:49:56 PDT 2020","1","BatchId:298293;OriginalHitTemplateId:920937243;","3600","259200","Tue Nov 17 18:49:56 PST 2020","","","3KOPY89HM9CF4EMSTPP9GW5MKSP3JK","A114SLF6QMZ0O7","Submitted","Wed Oct 28 19:52:25 PDT 2020","Wed Oct 28 19:52:26 PDT 2020","Sat Oct 31 19:52:26 PDT 2020","","","","1","0% (0/0)","0% (0/0)","0% (0/0)","post_5","i have just upgraded my magento site from 1.7.0.2 to latest version and when i visit my frontend , it is working fine but when i try to open admin panel , it shows nothing and display white screen .  i used following in index.php file to see any error but nothing is appearing still .      error_reporting(e_all ) ;      ini_set('display_errors ' , 1 ) ;  please help me","clarq_5","did you clear cache ?","{}","","",""
"3S37Y8CWI8AK5A71A085Q7WKZYV4WJ","3MRHU529460XLAYUZ9Z60JVL7EKA2M","Significance of UNK tokens in model output","Given a post and clarification question, what information needs does the question encode that is not expressed overtly?","question answering, QA, clarification","$0.05","Wed Oct 28 19:49:56 PDT 2020","1","BatchId:298293;OriginalHitTemplateId:920937243;","3600","259200","Tue Nov 17 18:49:56 PST 2020","","","3XUHV3NRVL8MRNE6J8AHJGNRLWC5H7","A114SLF6QMZ0O7","Submitted","Wed Oct 28 19:52:38 PDT 2020","Wed Oct 28 19:52:40 PDT 2020","Sat Oct 31 19:52:40 PDT 2020","","","","2","0% (0/0)","0% (0/0)","0% (0/0)","post_6","* * how to define url in jquery in magento 2 . i have get all the form data afte the form submit , but need to pass this to controller , so how do i declare url in js * *","clarq_6","do you want to get the url of the form ?","{}","","",""
"3YLPJ8OXX8NZUACRK54RSQAR8014XC","3MRHU529460XLAYUZ9Z60JVL7EKA2M","Significance of UNK tokens in model output","Given a post and clarification question, what information needs does the question encode that is not expressed overtly?","question answering, QA, clarification","$0.05","Wed Oct 28 19:49:56 PDT 2020","1","BatchId:298293;OriginalHitTemplateId:920937243;","3600","259200","Tue Nov 17 18:49:56 PST 2020","","","31N2WW6R9S0ZZC0WAZYO1YDURL83FH","A114SLF6QMZ0O7","Submitted","Wed Oct 28 19:51:15 PDT 2020","Wed Oct 28 19:51:16 PDT 2020","Sat Oct 31 19:51:16 PDT 2020","","","","1","0% (0/0)","0% (0/0)","0% (0/0)","post_7","i want to * * random 5 category * * but not luck for me  i have use below code      $ categoryfactory = $ objectmanager->create('magento\catalog\model\resourcemodel\category\collectionfactory ' ) ;      $ categories = $ categoryfactory->create()->addattributetoselect('*')->setpagesize(5)->getselect()->orderrand ( ) ;  * * but order random not working for me * *","clarq_7","can you show me your code ?","{}","","",""
"3MQY1YVHS3UIETU3BVTLAEM15JH2B5","3MRHU529460XLAYUZ9Z60JVL7EKA2M","Significance of UNK tokens in model output","Given a post and clarification question, what information needs does the question encode that is not expressed overtly?","question answering, QA, clarification","$0.05","Wed Oct 28 19:49:56 PDT 2020","1","BatchId:298293;OriginalHitTemplateId:920937243;","3600","259200","Tue Nov 17 18:49:56 PST 2020","","","3PXX5PX6LY896GN1ECR25G0FIX8AB2","A114SLF6QMZ0O7","Submitted","Wed Oct 28 19:51:07 PDT 2020","Wed Oct 28 19:51:14 PDT 2020","Sat Oct 31 19:51:14 PDT 2020","","","","7","0% (0/0)","0% (0/0)","0% (0/0)","post_8","warning : domdocument::loadxml ( ) : empty string supplied as input in c:\xampp\htdocs\magento2\vendor\magento\module - config\model\config\structure\reader.php on line 132","clarq_8","what is the output of ` &ltunk&gt ` ?","{}","","","1"
"3YLPJ8OXX8NZUACRK54RSQAR800X44","3MRHU529460XLAYUZ9Z60JVL7EKA2M","Significance of UNK tokens in model output","Given a post and clarification question, what information needs does the question encode that is not expressed overtly?","question answering, QA, clarification","$0.05","Wed Oct 28 19:49:56 PDT 2020","1","BatchId:298293;OriginalHitTemplateId:920937243;","3600","259200","Tue Nov 17 18:49:56 PST 2020","","","378XPAWRUDNJTO17KMJJR34SDNSAIB","A114SLF6QMZ0O7","Submitted","Wed Oct 28 19:52:28 PDT 2020","Wed Oct 28 19:52:32 PDT 2020","Sat Oct 31 19:52:32 PDT 2020","","","","4","0% (0/0)","0% (0/0)","0% (0/0)","post_9","i have a magento event ` ' payment_method_is_active ' ` and i want to call event with ajax . how can i do ?","clarq_9","you mean you want to call it ?","{}","","",""
