"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.input_meta","Input.input_text","Input.clarq_meta","Input.clarq_text","Answer.Comments","Answer.answerable_cb","Approve","Reject"
"3SBX2M1TKDXFLDBFYR9ZYIEYC8A4QY","37UC2S9IBMCQM8Q6EVR97HTXL505M2","Does a question need more clarification?","Given a post and an associated clarification question, you are required to judge if any more clarification is needed","QA, question answering, clarification","$0.03","Sun Nov 15 17:05:26 PST 2020","1","BatchId:300308;OriginalHitTemplateId:920937243;","3600","259200","Sat Dec 05 17:05:26 PST 2020","","","3U5JL4WY5LJ1HUALA79THA579RWX4L","A114SLF6QMZ0O7","Submitted","Sun Nov 15 17:11:26 PST 2020","Sun Nov 15 17:11:38 PST 2020","Wed Nov 18 17:11:38 PST 2020","","","","12","100% (2088/2088)","100% (2088/2088)","100% (819/819)","post_0","when i am clicking on * * add to cart * * button then product was added to my cart and mini - cart count also updated but loader on mini - cart showing always .  [ ! [ enter image description here][1]][1 ]  after refreshing my page mini - cart shows updated count .  [ ! [ enter image description here][2]][2 ]  what should i do to remove that loader after mini - cart count update ?    [ 1 ] : https://i.stack.imgur.com/oyiqr.png    [ 2 ] : https://i.stack.imgur.com/ob2dx.png","clarq_0","can you share your .blend file ?","{}","0"
"3KL228NDMVW9MQ64GNR3BLZS37RGK5","37UC2S9IBMCQM8Q6EVR97HTXL505M2","Does a question need more clarification?","Given a post and an associated clarification question, you are required to judge if any more clarification is needed","QA, question answering, clarification","$0.03","Sun Nov 15 17:05:26 PST 2020","1","BatchId:300308;OriginalHitTemplateId:920937243;","3600","259200","Sat Dec 05 17:05:26 PST 2020","","","3FQ5JJ512MYHJ2LKTT90QP354ZCNKH","A114SLF6QMZ0O7","Submitted","Sun Nov 15 17:14:48 PST 2020","Sun Nov 15 17:14:53 PST 2020","Wed Nov 18 17:14:53 PST 2020","","","","5","100% (2088/2088)","100% (2088/2088)","100% (819/819)","post_1","i am trying to find where i did mistake when i search abc in catalog search tab . the link * * local.xyz.com/abc.html * * redirect to www.xyz.com/abc.html .  do n't know where i did mistake , i already changed the url rewrite manage ment and reindex in and remove cache but same issue occur .","clarq_1","what do you mean by ` <unk> ` ?","{}","1"
"3L55D8AUFA7RPJFGIGWBU2TO3U8CYM","37UC2S9IBMCQM8Q6EVR97HTXL505M2","Does a question need more clarification?","Given a post and an associated clarification question, you are required to judge if any more clarification is needed","QA, question answering, clarification","$0.03","Sun Nov 15 17:05:26 PST 2020","1","BatchId:300308;OriginalHitTemplateId:920937243;","3600","259200","Sat Dec 05 17:05:26 PST 2020","","","3HWRJOOET6CBDFLF53FJRO0671OSEE","A114SLF6QMZ0O7","Submitted","Sun Nov 15 17:13:18 PST 2020","Sun Nov 15 17:13:22 PST 2020","Wed Nov 18 17:13:22 PST 2020","","","","4","100% (2088/2088)","100% (2088/2088)","100% (819/819)","post_2","hello i am new on the magento 2 . suddenly i got the error when new user come on the site and try to register after filling information it is showing error as "" we ca n't save the customer ""   . i am not able to understand why this is happening suddenly on my website . please let me know and suggest me any relevant answer for this query . my website url is http://54.67.81.223/viewsonicstore  thanks in advance","clarq_2","can you share your code ?","{}","1"
"3TD33TP5DLC7JWP7OAM0GW5ZII5AB3","37UC2S9IBMCQM8Q6EVR97HTXL505M2","Does a question need more clarification?","Given a post and an associated clarification question, you are required to judge if any more clarification is needed","QA, question answering, clarification","$0.03","Sun Nov 15 17:05:27 PST 2020","1","BatchId:300308;OriginalHitTemplateId:920937243;","3600","259200","Sat Dec 05 17:05:27 PST 2020","","","37TD41K0AIJWGH119C9O1003MPBSCL","A114SLF6QMZ0O7","Submitted","Sun Nov 15 17:12:34 PST 2020","Sun Nov 15 17:12:38 PST 2020","Wed Nov 18 17:12:38 PST 2020","","","","4","100% (2088/2088)","100% (2088/2088)","100% (819/819)","post_3","on the category page i have an attribute showing values , that attribute can have multiple values and will show all te values separated by comma 's . is there a way to get the highest value from the attribute and also the lowest ?  what is have to display the values :      getresource()->getattribute('scherm_breedte')->getfrontend()->getvalue($_product ) ) : ? >        breedte : getresource()->getattribute('scherm_breedte')->getfrontend()->getvalue($_product ) ; ? >     regards ,  robert","clarq_3","what do you mean by ` <unk> ` ?","{}","1"
"3P4C70TRMRRK6WOM1N34QLC7S7WGL8","37UC2S9IBMCQM8Q6EVR97HTXL505M2","Does a question need more clarification?","Given a post and an associated clarification question, you are required to judge if any more clarification is needed","QA, question answering, clarification","$0.03","Sun Nov 15 17:05:27 PST 2020","1","BatchId:300308;OriginalHitTemplateId:920937243;","3600","259200","Sat Dec 05 17:05:27 PST 2020","","","3URFVVM166SP3N4FQVOWRZJCG4IUZ2","A114SLF6QMZ0O7","Submitted","Sun Nov 15 17:13:47 PST 2020","Sun Nov 15 17:13:55 PST 2020","Wed Nov 18 17:13:55 PST 2020","","","","8","100% (2088/2088)","100% (2088/2088)","100% (819/819)","post_4","how can i get all the available colors of a single product in magento 2 ?","clarq_4","what do you mean by "" <unk> "" ?","{}","1"
"3GVPRXWRPH4ZN25FNH2XSS7MC0J7II","37UC2S9IBMCQM8Q6EVR97HTXL505M2","Does a question need more clarification?","Given a post and an associated clarification question, you are required to judge if any more clarification is needed","QA, question answering, clarification","$0.03","Sun Nov 15 17:05:27 PST 2020","1","BatchId:300308;OriginalHitTemplateId:920937243;","3600","259200","Sat Dec 05 17:05:27 PST 2020","","","3OCHAWUVGPUMVWZOVZW9ORU36DMKXY","A114SLF6QMZ0O7","Submitted","Sun Nov 15 17:11:39 PST 2020","Sun Nov 15 17:11:43 PST 2020","Wed Nov 18 17:11:43 PST 2020","","","","4","100% (2088/2088)","100% (2088/2088)","100% (819/819)","post_5","i have just upgraded my magento site from 1.7.0.2 to latest version and when i visit my frontend , it is working fine but when i try to open admin panel , it shows nothing and display white screen .  i used following in index.php file to see any error but nothing is appearing still .      error_reporting(e_all ) ;      ini_set('display_errors ' , 1 ) ;  please help me","clarq_5","did you try ` <unk> ` ?","{}","1"
"3G9UA71JVV4VIDPL5ZNX4TMMPF87JU","37UC2S9IBMCQM8Q6EVR97HTXL505M2","Does a question need more clarification?","Given a post and an associated clarification question, you are required to judge if any more clarification is needed","QA, question answering, clarification","$0.03","Sun Nov 15 17:05:27 PST 2020","1","BatchId:300308;OriginalHitTemplateId:920937243;","3600","259200","Sat Dec 05 17:05:27 PST 2020","","","3IKZ72A5B5Q63GT6SII3ACB0W3VNFF","A114SLF6QMZ0O7","Submitted","Sun Nov 15 17:12:44 PST 2020","Sun Nov 15 17:12:48 PST 2020","Wed Nov 18 17:12:48 PST 2020","","","","4","100% (2088/2088)","100% (2088/2088)","100% (819/819)","post_6","* * how to define url in jquery in magento 2 . i have get all the form data afte the form submit , but need to pass this to controller , so how do i declare url in js * *","clarq_6","do you want to do this ?","{}","1"
"38EHZ67RIM24CE671Z4JQYRWSCMGMA","37UC2S9IBMCQM8Q6EVR97HTXL505M2","Does a question need more clarification?","Given a post and an associated clarification question, you are required to judge if any more clarification is needed","QA, question answering, clarification","$0.03","Sun Nov 15 17:05:27 PST 2020","1","BatchId:300308;OriginalHitTemplateId:920937243;","3600","259200","Sat Dec 05 17:05:27 PST 2020","","","3OVR4I9USQTH8X99OTE1N29ECO9Q4H","A114SLF6QMZ0O7","Submitted","Sun Nov 15 17:11:43 PST 2020","Sun Nov 15 17:11:51 PST 2020","Wed Nov 18 17:11:51 PST 2020","","","","8","100% (2088/2088)","100% (2088/2088)","100% (819/819)","post_7","i want to * * random 5 category * * but not luck for me  i have use below code      $ categoryfactory = $ objectmanager->create('magento\catalog\model\resourcemodel\category\collectionfactory ' ) ;      $ categories = $ categoryfactory->create()->addattributetoselect('*')->setpagesize(5)->getselect()->orderrand ( ) ;  * * but order random not working for me * *","clarq_7","what do you mean by "" $ <unk> "" ?","{}","1"
"3V8JSVE8YY06MHZUE726KQTRO6LEYH","37UC2S9IBMCQM8Q6EVR97HTXL505M2","Does a question need more clarification?","Given a post and an associated clarification question, you are required to judge if any more clarification is needed","QA, question answering, clarification","$0.03","Sun Nov 15 17:05:27 PST 2020","1","BatchId:300308;OriginalHitTemplateId:920937243;","3600","259200","Sat Dec 05 17:05:27 PST 2020","","","34HJIJKLP669D55QAS8BTP8MTGOV4G","A114SLF6QMZ0O7","Submitted","Sun Nov 15 17:15:13 PST 2020","Sun Nov 15 17:15:16 PST 2020","Wed Nov 18 17:15:16 PST 2020","","","","3","100% (2088/2088)","100% (2088/2088)","100% (819/819)","post_8","warning : domdocument::loadxml ( ) : empty string supplied as input in c:\xampp\htdocs\magento2\vendor\magento\module - config\model\config\structure\reader.php on line 132","clarq_8","what do you mean by ` <unk> ` ?","{}","1"
"36BTXXLZ2VIFXEQFB6YZ38O38UC4RZ","37UC2S9IBMCQM8Q6EVR97HTXL505M2","Does a question need more clarification?","Given a post and an associated clarification question, you are required to judge if any more clarification is needed","QA, question answering, clarification","$0.03","Sun Nov 15 17:05:27 PST 2020","1","BatchId:300308;OriginalHitTemplateId:920937243;","3600","259200","Sat Dec 05 17:05:27 PST 2020","","","39GAF6DQWSASL687NAP9VR1JHWEV13","A114SLF6QMZ0O7","Submitted","Sun Nov 15 17:14:25 PST 2020","Sun Nov 15 17:14:29 PST 2020","Wed Nov 18 17:14:29 PST 2020","","","","4","100% (2088/2088)","100% (2088/2088)","100% (819/819)","post_9","i have a magento event ` ' payment_method_is_active ' ` and i want to call event with ajax . how can i do ?","clarq_9","what do you mean by "" <unk> "" ?","{}","1"
